watchlist_type,watchlist_name,exchange_code,stock_symbol
Stocks in Index,S&P 500 stocks,,CVS
Stocks in Index,S&P 500 stocks,,APO
Stocks in Index,S&P 500 stocks,,GD
Stocks in Index,S&P 500 stocks,,CL
Stocks in Index,S&P 500 stocks,,ECL
Stocks in Index,S&P 500 stocks,,WDAY
Stocks in Index,S&P 500 stocks,,COF
Stocks in Index,S&P 500 stocks,,ZTS
Stocks in Index,S&P 500 stocks,,ITW
Stocks in Index,S&P 500 stocks,,MAR
Stocks in Index,S&P 500 stocks,,WMB
Stocks in Index,S&P 500 stocks,,MSI
Stocks in Index,S&P 500 stocks,,PYPL
Stocks in Index,S&P 500 stocks,,COIN
Stocks in Index,S&P 500 stocks,,PNC
Stocks in Index,S&P 500 stocks,,CMG
Stocks in Index,S&P 500 stocks,,NOC
Stocks in Index,S&P 500 stocks,,USB
Stocks in Index,S&P 500 stocks,,EMR
Stocks in Index,S&P 500 stocks,,HWM
Stocks in Index,S&P 500 stocks,,RCL
Stocks in Index,S&P 500 stocks,,AZO
Stocks in Index,S&P 500 stocks,,JCI
Stocks in Index,S&P 500 stocks,,BK
Stocks in Index,S&P 500 stocks,,CHTR
Stocks in Index,S&P 500 stocks,,ADSK
Stocks in Index,S&P 500 stocks,,REGN
Stocks in Index,S&P 500 stocks,,CARR
Stocks in Index,S&P 500 stocks,,TRV
Stocks in Index,S&P 500 stocks,,MNST
Stocks in Index,S&P 500 stocks,,ROP
Stocks in Index,S&P 500 stocks,,KMI
Stocks in Index,S&P 500 stocks,,EOG
Stocks in Index,S&P 500 stocks,,APD
Stocks in Index,S&P 500 stocks,,SPG
Stocks in Index,S&P 500 stocks,,HLT
Stocks in Index,S&P 500 stocks,,CPRT
Stocks in Index,S&P 500 stocks,,NEM
Stocks in Index,S&P 500 stocks,,DLR
Stocks in Index,S&P 500 stocks,,CSX
Stocks in Index,S&P 500 stocks,,AXON
Stocks in Index,S&P 500 stocks,,PAYX
Stocks in Index,S&P 500 stocks,,COR
Stocks in Index,S&P 500 stocks,,AFL
Stocks in Index,S&P 500 stocks,,AEP
Stocks in Index,S&P 500 stocks,,FCX
Stocks in Index,S&P 500 stocks,,NSC
Stocks in Index,S&P 500 stocks,,ALL
Stocks in Index,S&P 500 stocks,,VST
Stocks in Index,S&P 500 stocks,,FDX
Stocks in Index,S&P 500 stocks,,MET
Stocks in Index,S&P 500 stocks,,PSA
Stocks in Index,S&P 500 stocks,,GWW
Stocks in Index,S&P 500 stocks,,TFC
Stocks in Index,S&P 500 stocks,,OKE
Stocks in Index,S&P 500 stocks,,ROST
Stocks in Index,S&P 500 stocks,,SRE
Stocks in Index,S&P 500 stocks,,O
Stocks in Index,S&P 500 stocks,,NXPI
Stocks in Index,S&P 500 stocks,,PCAR
Stocks in Index,S&P 500 stocks,,BDX
Stocks in Index,S&P 500 stocks,,PWR
Stocks in Index,S&P 500 stocks,,MPC
Stocks in Index,S&P 500 stocks,,AMP
Stocks in Index,S&P 500 stocks,,D
Stocks in Index,S&P 500 stocks,,GM
Stocks in Index,S&P 500 stocks,,AIG
Stocks in Index,S&P 500 stocks,,TEL
Stocks in Index,S&P 500 stocks,,CTVA
Stocks in Index,S&P 500 stocks,,FAST
Stocks in Index,S&P 500 stocks,,NDAQ
Stocks in Index,S&P 500 stocks,,KMB
Stocks in Index,S&P 500 stocks,,PSX
Stocks in Index,S&P 500 stocks,,SLB
Stocks in Index,S&P 500 stocks,,URI
Stocks in Index,S&P 500 stocks,,KR
Stocks in Index,S&P 500 stocks,,KVUE
Stocks in Index,S&P 500 stocks,,KDP
Stocks in Index,S&P 500 stocks,,LHX
Stocks in Index,S&P 500 stocks,,CMI
Stocks in Index,S&P 500 stocks,,VRSK
Stocks in Index,S&P 500 stocks,,EW
Stocks in Index,S&P 500 stocks,,EXC
Stocks in Index,S&P 500 stocks,,MSCI
Stocks in Index,S&P 500 stocks,,CCI
Stocks in Index,S&P 500 stocks,,TGT
Stocks in Index,S&P 500 stocks,,GLW
Stocks in Index,S&P 500 stocks,,F
Stocks in Index,S&P 500 stocks,,FICO
Stocks in Index,S&P 500 stocks,,AME
Stocks in Index,S&P 500 stocks,,FIS
Stocks in Index,S&P 500 stocks,,IDXX
Stocks in Index,S&P 500 stocks,,YUM
Stocks in Index,S&P 500 stocks,,OXY
Stocks in Index,S&P 500 stocks,,VLO
Stocks in Index,S&P 500 stocks,,TTWO
Stocks in Index,S&P 500 stocks,,HES
Stocks in Index,S&P 500 stocks,,XEL
Stocks in Index,S&P 500 stocks,,FANG
Stocks in Index,S&P 500 stocks,,CTSH
Stocks in Index,S&P 500 stocks,,GRMN
Stocks in Index,S&P 500 stocks,,PEG
Stocks in Index,S&P 500 stocks,,LULU
Stocks in Index,S&P 500 stocks,,OTIS
Stocks in Index,S&P 500 stocks,,PCG
Stocks in Index,S&P 500 stocks,,ED
Stocks in Index,S&P 500 stocks,,EA
Stocks in Index,S&P 500 stocks,,HIG
Stocks in Index,S&P 500 stocks,,DHI
Stocks in Index,S&P 500 stocks,,CAH
Stocks in Index,S&P 500 stocks,,BKR
Stocks in Index,S&P 500 stocks,,PRU
Stocks in Index,S&P 500 stocks,,RMD
Stocks in Index,S&P 500 stocks,,VMC
Stocks in Index,S&P 500 stocks,,CBRE
Stocks in Index,S&P 500 stocks,,ETR
Stocks in Index,S&P 500 stocks,,SYY
Stocks in Index,S&P 500 stocks,,ODFL
Stocks in Index,S&P 500 stocks,,ROK
Stocks in Index,S&P 500 stocks,,TRGP
Stocks in Index,S&P 500 stocks,,ACGL
Stocks in Index,S&P 500 stocks,,WAB
Stocks in Index,S&P 500 stocks,,IT
Stocks in Index,S&P 500 stocks,,MLM
Stocks in Index,S&P 500 stocks,,WEC
Stocks in Index,S&P 500 stocks,,LYV
Stocks in Index,S&P 500 stocks,,EQT
Stocks in Index,S&P 500 stocks,,DXCM
Stocks in Index,S&P 500 stocks,,EBAY
Stocks in Index,S&P 500 stocks,,VICI
Stocks in Index,S&P 500 stocks,,STZ
Stocks in Index,S&P 500 stocks,,IR
Stocks in Index,S&P 500 stocks,,EFX
